PERFORMANCE,DESCRICAO,SCENARIO,MARKET-TYPE,MBTI,E-I,S-N,T-F,J-P,SEED,TOTAL-DEMAND,CYCLES-TO-RETURN,MAX-VISITS-TO-AGENT,MIN-DISTANCE-TO-EXCLUDE
2096,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2018,4688,75,3,10
2129,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2018,4688,75,3,10
2122,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2018,4688,75,3,10
2154,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2018,4688,75,3,10
2094,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2018,4688,75,3,10
2101,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2018,4688,75,3,10
2115,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2018,4688,75,3,10
2104,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2018,4688,75,3,10
2116,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2018,4688,75,3,10
2108,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2018,4688,75,3,10
2112,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2018,4688,75,3,10
2068,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2019,4688,75,3,10
2088,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2019,4688,75,3,10
2057,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2019,4688,75,3,10
2070,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2019,4688,75,3,10
2039,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2020,4688,75,3,10
2121,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2019,4688,75,3,10
2077,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2020,4688,75,3,10
2026,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2020,4688,75,3,10
2022,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2020,4688,75,3,10
2069,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2019,4688,75,3,10
2051,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2020,4688,75,3,10
2039,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2020,4688,75,3,10
2057,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2019,4688,75,3,10
2057,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2019,4688,75,3,10
2024,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2020,4688,75,3,10
2148,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2019,4688,75,3,10
2074,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2019,4688,75,3,10
2132,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2019,4688,75,3,10
2146,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2018,4688,75,3,10
2081,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2019,4688,75,3,10
2163,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2019,4688,75,3,10
2076,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2019,4688,75,3,10
2117,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2019,4688,75,3,10
2119,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2019,4688,75,3,10
2083,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2019,4688,75,3,10
2057,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2019,4688,75,3,10
2082,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2019,4688,75,3,10
2081,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2019,4688,75,3,10
2035,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2020,4688,75,3,10
2088,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2019,4688,75,3,10
2117,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2020,4688,75,3,10
2129,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2021,4688,75,3,10
2109,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2021,4688,75,3,10
2109,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2021,4688,75,3,10
2109,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2021,4688,75,3,10
2062,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2020,4688,75,3,10
2107,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2020,4688,75,3,10
2053,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2021,4688,75,3,10
2099,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2021,4688,75,3,10
2102,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2020,4688,75,3,10
2053,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2021,4688,75,3,10
2082,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2020,4688,75,3,10
2097,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2020,4688,75,3,10
2134,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2020,4688,75,3,10
2086,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2021,4688,75,3,10
2056,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2020,4688,75,3,10
