PERFORMANCE,DESCRICAO,SCENARIO,MARKET-TYPE,MBTI,E-I,S-N,T-F,J-P,SEED,TOTAL-DEMAND,CYCLES-TO-RETURN,MAX-VISITS-TO-AGENT,MIN-DISTANCE-TO-EXCLUDE
2082,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2028,4688,75,3,10
2102,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2028,4688,75,3,10
2098,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2028,4688,75,3,10
2067,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2028,4688,75,3,10
2088,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2028,4688,75,3,10
2123,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2027,4688,75,3,10
2108,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2028,4688,75,3,10
2091,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2028,4688,75,3,10
2112,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2028,4688,75,3,10
2085,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2028,4688,75,3,10
2125,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2029,4688,75,3,10
2111,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2029,4688,75,3,10
2125,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2029,4688,75,3,10
2128,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2029,4688,75,3,10
2110,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2029,4688,75,3,10
2110,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2029,4688,75,3,10
2128,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2029,4688,75,3,10
2145,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2029,4688,75,3,10
2143,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2029,4688,75,3,10
2154,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2029,4688,75,3,10
2102,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2028,4688,75,3,10
2098,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2028,4688,75,3,10
2146,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2029,4688,75,3,10
2131,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2029,4688,75,3,10
2110,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2029,4688,75,3,10
2136,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2029,4688,75,3,10
2141,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2029,4688,75,3,10
2103,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2029,4688,75,3,10
2123,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2029,4688,75,3,10
2172,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2030,4688,75,3,10
2154,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2029,4688,75,3,10
2135,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2029,4688,75,3,10
2130,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2029,4688,75,3,10
2148,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2029,4688,75,3,10
2129,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2030,4688,75,3,10
2161,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2030,4688,75,3,10
2161,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2030,4688,75,3,10
2160,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2030,4688,75,3,10
2168,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2030,4688,75,3,10
2143,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2030,4688,75,3,10
2160,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2030,4688,75,3,10
2141,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2030,4688,75,3,10
2104,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2030,4688,75,3,10
2139,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2030,4688,75,3,10
2111,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2030,4688,75,3,10
2151,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2030,4688,75,3,10
2124,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2030,4688,75,3,10
2139,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2030,4688,75,3,10
2106,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2030,4688,75,3,10
2114,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2030,4688,75,3,10
2104,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2030,4688,75,3,10
2130,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2030,4688,75,3,10
2160,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2030,4688,75,3,10
2088,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2030,4688,75,3,10
2082,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2000,4688,75,3,10
2116,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2000,4688,75,3,10
2147,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2001,4688,75,3,10
2139,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2001,4688,75,3,10
2147,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2001,4688,75,3,10
2154,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2001,4688,75,3,10
2108,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2001,4688,75,3,10
2154,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2001,4688,75,3,10
2113,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2000,4688,75,3,10
2075,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2000,4688,75,3,10
2073,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2000,4688,75,3,10
2114,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2000,4688,75,3,10
2063,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2000,4688,75,3,10
2140,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2000,4688,75,3,10
2108,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2001,4688,75,3,10
2102,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2000,4688,75,3,10
2109,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2000,4688,75,3,10
2127,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2000,4688,75,3,10
2076,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2000,4688,75,3,10
2103,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2000,4688,75,3,10
2127,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2000,4688,75,3,10
2074,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2000,4688,75,3,10
2111,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2000,4688,75,3,10
2113,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2000,4688,75,3,10
2046,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2000,4688,75,3,10
2051,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2000,4688,75,3,10
2076,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2001,4688,75,3,10
2088,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2001,4688,75,3,10
2094,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2000,4688,75,3,10
2115,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2000,4688,75,3,10
2066,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2001,4688,75,3,10
2086,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2001,4688,75,3,10
2137,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2001,4688,75,3,10
2086,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2001,4688,75,3,10
2070,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2001,4688,75,3,10
2104,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2001,4688,75,3,10
2153,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2001,4688,75,3,10
2067,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2001,4688,75,3,10
2103,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2001,4688,75,3,10
2076,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2001,4688,75,3,10
2166,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2002,4688,75,3,10
2151,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2002,4688,75,3,10
2129,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2002,4688,75,3,10
2126,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2002,4688,75,3,10
2138,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2002,4688,75,3,10
2153,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2002,4688,75,3,10
2161,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2002,4688,75,3,10
2158,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2002,4688,75,3,10
2108,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2001,4688,75,3,10
2149,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2002,4688,75,3,10
2164,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2002,4688,75,3,10
2127,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2002,4688,75,3,10
2135,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2002,4688,75,3,10
2126,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2002,4688,75,3,10
2108,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2002,4688,75,3,10
2130,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2002,4688,75,3,10
2052,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2003,4688,75,3,10
2111,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2003,4688,75,3,10
2157,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2002,4688,75,3,10
2105,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2003,4688,75,3,10
2156,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2002,4688,75,3,10
2163,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2002,4688,75,3,10
2179,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2002,4688,75,3,10
2162,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2002,4688,75,3,10
2068,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2003,4688,75,3,10
2157,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2002,4688,75,3,10
2111,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2003,4688,75,3,10
2111,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2003,4688,75,3,10
2066,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2003,4688,75,3,10
2059,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2001,4688,75,3,10
2140,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2003,4688,75,3,10
2087,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2003,4688,75,3,10
2076,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2003,4688,75,3,10
2083,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2003,4688,75,3,10
2067,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2004,4688,75,3,10
2149,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2003,4688,75,3,10
2166,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2003,4688,75,3,10
2102,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2003,4688,75,3,10
2135,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2004,4688,75,3,10
2133,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2003,4688,75,3,10
2022,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2004,4688,75,3,10
2021,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2004,4688,75,3,10
2022,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2004,4688,75,3,10
2058,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2004,4688,75,3,10
2107,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2003,4688,75,3,10
2069,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2004,4688,75,3,10
2021,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2004,4688,75,3,10
2056,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2004,4688,75,3,10
2130,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2004,4688,75,3,10
2125,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2003,4688,75,3,10
2059,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2003,4688,75,3,10
2134,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2003,4688,75,3,10
2119,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2003,4688,75,3,10
2118,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2003,4688,75,3,10
2022,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2004,4688,75,3,10
2092,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2004,4688,75,3,10
2022,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2004,4688,75,3,10
2129,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2004,4688,75,3,10
2078,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2004,4688,75,3,10
2125,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2005,4688,75,3,10
2101,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2004,4688,75,3,10
2107,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2004,4688,75,3,10
2111,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2004,4688,75,3,10
2140,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2005,4688,75,3,10
2107,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2004,4688,75,3,10
2087,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2004,4688,75,3,10
2130,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2005,4688,75,3,10
2101,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2005,4688,75,3,10
2118,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2005,4688,75,3,10
2118,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2005,4688,75,3,10
2145,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2005,4688,75,3,10
2149,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2005,4688,75,3,10
2099,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2006,4688,75,3,10
2119,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2005,4688,75,3,10
2135,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2005,4688,75,3,10
2119,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2005,4688,75,3,10
2134,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2005,4688,75,3,10
2137,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2005,4688,75,3,10
2093,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2006,4688,75,3,10
2121,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2005,4688,75,3,10
2093,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2006,4688,75,3,10
2082,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2006,4688,75,3,10
2121,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2005,4688,75,3,10
2130,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2005,4688,75,3,10
2082,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2006,4688,75,3,10
2149,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2005,4688,75,3,10
2081,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2006,4688,75,3,10
2143,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2005,4688,75,3,10
2135,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2005,4688,75,3,10
2102,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2005,4688,75,3,10
2173,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2006,4688,75,3,10
2082,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2006,4688,75,3,10
2146,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2005,4688,75,3,10
2163,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2006,4688,75,3,10
2145,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2006,4688,75,3,10
2142,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2006,4688,75,3,10
2090,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2006,4688,75,3,10
2112,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2007,4688,75,3,10
2136,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2007,4688,75,3,10
2110,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2007,4688,75,3,10
2138,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2007,4688,75,3,10
2124,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2007,4688,75,3,10
2095,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2007,4688,75,3,10
2122,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2007,4688,75,3,10
2123,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2007,4688,75,3,10
2119,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2007,4688,75,3,10
2111,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2007,4688,75,3,10
2062,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2004,4688,75,3,10
2136,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2007,4688,75,3,10
2058,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2006,4688,75,3,10
2082,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2006,4688,75,3,10
2034,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2006,4688,75,3,10
2039,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2006,4688,75,3,10
2091,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2006,4688,75,3,10
2093,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2007,4688,75,3,10
2048,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2007,4688,75,3,10
2140,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2007,4688,75,3,10
2071,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2006,4688,75,3,10
2041,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2006,4688,75,3,10
2037,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2007,4688,75,3,10
2055,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2006,4688,75,3,10
2048,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2007,4688,75,3,10
2070,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2007,4688,75,3,10
2048,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2007,4688,75,3,10
2074,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2006,4688,75,3,10
2148,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2007,4688,75,3,10
2064,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2008,4688,75,3,10
2148,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2007,4688,75,3,10
2075,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2008,4688,75,3,10
2064,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2008,4688,75,3,10
2084,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2008,4688,75,3,10
2064,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2008,4688,75,3,10
2085,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2008,4688,75,3,10
2115,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2008,4688,75,3,10
2156,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2007,4688,75,3,10
2148,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2008,4688,75,3,10
2046,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2008,4688,75,3,10
2081,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2008,4688,75,3,10
2090,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2008,4688,75,3,10
2102,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2009,4688,75,3,10
2093,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2009,4688,75,3,10
2147,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2009,4688,75,3,10
2102,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2009,4688,75,3,10
2147,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2009,4688,75,3,10
2145,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2009,4688,75,3,10
2144,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2009,4688,75,3,10
2067,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2008,4688,75,3,10
2142,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2008,4688,75,3,10
2122,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2008,4688,75,3,10
2126,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2008,4688,75,3,10
2090,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2009,4688,75,3,10
2145,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2008,4688,75,3,10
2126,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2008,4688,75,3,10
2113,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2008,4688,75,3,10
2126,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2008,4688,75,3,10
2041,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2009,4688,75,3,10
2061,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2009,4688,75,3,10
2151,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2008,4688,75,3,10
2067,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2009,4688,75,3,10
2056,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2009,4688,75,3,10
2144,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2009,4688,75,3,10
2043,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2009,4688,75,3,10
2038,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2009,4688,75,3,10
2035,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2009,4688,75,3,10
2107,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2008,4688,75,3,10
2116,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2009,4688,75,3,10
2105,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2010,4688,75,3,10
2045,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2010,4688,75,3,10
2105,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2010,4688,75,3,10
2107,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2010,4688,75,3,10
2137,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2010,4688,75,3,10
2137,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2010,4688,75,3,10
2119,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2009,4688,75,3,10
2107,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2010,4688,75,3,10
2108,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2009,4688,75,3,10
